,player0_position_x,player0_position_z,player0_position_a,order0,order1,time
0,9,6,0,Sushi_Fish,Sushi_Fish,0
37,9,6,1,Sushi_Fish,Sushi_Fish,37
38,10,6,1,Sushi_Fish,Sushi_Fish,38
43,9,6,2,Sushi_Fish,Sushi_Fish,43
175,9,5,2,Sushi_Fish,Sushi_Fish,175
178,9,4,2,Sushi_Fish,Sushi_Fish,178
181,9,3,2,Sushi_Fish,Sushi_Fish,181
184,9,2,2,Sushi_Fish,Sushi_Fish,184
187,9,1,2,Sushi_Fish,Sushi_Fish,187
195,9,1,1,Sushi_Fish,Sushi_Fish,195
196,10,1,1,Sushi_Fish,Sushi_Fish,196
199,11,1,1,Sushi_Fish,Sushi_Fish,199
295,11,1,2,Sushi_Fish,Sushi_Fish,295
296,11,1,3,Sushi_Fish,Sushi_Fish,296
297,10,1,3,Sushi_Fish,Sushi_Fish,297
300,9,1,3,Sushi_Fish,Sushi_Fish,300
303,8,1,3,Sushi_Fish,Sushi_Fish,303
306,7,1,3,Sushi_Fish,Sushi_Fish,306
309,6,1,3,Sushi_Fish,Sushi_Fish,309
312,5,1,3,Sushi_Fish,Sushi_Fish,312
314,5,1,0,Sushi_Fish,Sushi_Fish,314
315,5,2,0,Sushi_Fish,Sushi_Fish,315
318,5,3,0,Sushi_Fish,Sushi_Fish,318
325,5,3,3,Sushi_Fish,Sushi_Fish,325
327,5,2,2,Sushi_Fish,Sushi_Fish,327
330,5,1,2,Sushi_Fish,Sushi_Fish,330
332,5,1,1,Sushi_Fish,Sushi_Fish,332
334,6,1,1,Sushi_Fish,Sushi_Fish,334
337,7,1,1,Sushi_Fish,Sushi_Fish,337
338,7,1,2,Sushi_Fish,Sushi_Fish,338
344,7,1,3,Sushi_Fish,Sushi_Fish,344
345,7,1,0,Sushi_Fish,Sushi_Fish,345
346,7,2,0,Sushi_Fish,Sushi_Fish,346
349,7,3,0,Sushi_Fish,Sushi_Fish,349
352,7,3,1,Sushi_Fish,Sushi_Fish,352
355,8,3,1,Sushi_Fish,Sushi_Fish,355
357,8,4,0,Sushi_Fish,Sushi_Fish,357
360,8,5,0,Sushi_Fish,Sushi_Fish,360
363,8,6,0,Sushi_Fish,Sushi_Fish,363
368,8,6,3,Sushi_Fish,Sushi_Fish,368
369,7,6,3,Sushi_Fish,Sushi_Fish,369
372,6,6,2,Sushi_Fish,Sushi_Fish,372
374,6,5,2,Sushi_Fish,Sushi_Fish,374
378,6,5,3,Sushi_Fish,Sushi_Fish,378
381,5,5,0,Sushi_Fish,Sushi_Fish,381
383,5,6,0,Sushi_Fish,Sushi_Fish,383
507,5,6,1,Sushi_Fish,Sushi_Fish,507
509,6,6,1,Sushi_Fish,Sushi_Fish,509
512,7,6,1,Sushi_Fish,Sushi_Fish,512
515,8,6,1,Sushi_Fish,Sushi_Fish,515
517,8,6,0,Sushi_Fish,Sushi_Fish,517
523,8,6,3,Sushi_Fish,Sushi_Fish,523
524,8,6,2,Sushi_Fish,Sushi_Fish,524
525,8,5,2,Sushi_Fish,Sushi_Fish,525
528,8,4,2,Sushi_Fish,Sushi_Fish,528
531,8,3,2,Sushi_Fish,Sushi_Fish,531
532,8,3,3,Sushi_Fish,Sushi_Fish,532
535,7,2,2,Sushi_Fish,Sushi_Fish,535
538,7,1,2,Sushi_Fish,Sushi_Fish,538
545,7,1,3,Sushi_Fish,Sushi_Fish,545
546,7,1,0,Sushi_Fish,Sushi_Fish,546
547,7,2,0,Sushi_Fish,Sushi_Fish,547
548,7,2,1,Sushi_Fish,Sushi_Fish,548
549,8,2,1,Sushi_Fish,Sushi_Fish,549
550,8,3,1,Sushi_Fish,Sushi_Fish,550
553,9,3,1,Sushi_Fish,Sushi_Fish,553
555,9,4,0,Sushi_Fish,Sushi_Fish,555
558,9,5,0,Sushi_Fish,Sushi_Fish,558
561,9,6,0,Sushi_Fish,Sushi_Fish,561
569,9,6,3,Sushi_Fish,Sushi_Fish,569
570,8,6,3,Sushi_Fish,Sushi_Fish,570
571,8,6,0,Sushi_Fish,Sushi_Fish,571
577,8,6,3,Sushi_Fish,Sushi_Fish,577
579,7,6,3,Sushi_Fish,Sushi_Fish,579
580,7,6,0,Sushi_Fish,Sushi_Fish,580
585,7,6,3,Sushi_Fish,Sushi_Fish,585
586,7,5,2,Sushi_Fish,Sushi_Fish,586
591,7,5,3,Sushi_Fish,Sushi_Fish,591
593,7,6,0,Sushi_Fish,Sushi_Fish,593
598,7,6,3,Sushi_Fish,Sushi_Fish,598
600,6,6,3,Sushi_Fish,Sushi_Fish,600
603,5,6,3,Sushi_Fish,Sushi_Fish,603
604,5,6,2,Sushi_Fish,Sushi_Fish,604
606,5,5,2,Sushi_Fish,Sushi_Fish,606
611,5,5,3,Sushi_Fish,Sushi_Fish,611
612,4,5,3,Sushi_Fish,Sushi_Fish,612
615,3,5,2,Sushi_Fish,Sushi_Fish,615
616,3,4,2,Sushi_Fish,Sushi_Fish,616
618,4,4,2,Sushi_Fish,Sushi_Fish,618
619,4,4,1,Sushi_Fish,Sushi_Fish,619
626,4,3,2,Sushi_Fish,Sushi_Fish,626
628,5,3,2,Sushi_Fish,Sushi_Fish,628
629,5,3,1,Sushi_Fish,Sushi_Fish,629
631,6,3,1,Sushi_Fish,Sushi_Fish,631
634,7,3,1,Sushi_Fish,Sushi_Fish,634
637,7,3,2,Sushi_Fish,Sushi_Fish,637
640,8,3,2,Sushi_Fish,Sushi_Fish,640
646,8,2,2,Sushi_Fish,Sushi_Fish,646
649,8,1,2,Sushi_Fish,Sushi_Fish,649
656,8,1,3,Sushi_Fish,Sushi_Fish,656
657,7,1,3,Sushi_Fish,Sushi_Fish,657
664,7,1,0,Sushi_Fish,Sushi_Fish,664
666,7,2,0,Sushi_Fish,Sushi_Fish,666
669,7,3,0,Sushi_Fish,Sushi_Fish,669
671,7,3,1,Sushi_Fish,Sushi_Fish,671
672,7,3,0,Sushi_Fish,Sushi_Fish,672
676,6,3,0,Sushi_Fish,Sushi_Fish,676
679,7,3,1,Sushi_Fish,Sushi_Fish,679
683,8,3,1,Sushi_Fish,Sushi_Fish,683
686,8,4,0,Sushi_Fish,Sushi_Fish,686
689,8,5,0,Sushi_Fish,Sushi_Fish,689
691,7,5,0,Sushi_Fish,Sushi_Fish,691
693,7,6,0,Sushi_Fish,Sushi_Fish,693
695,6,6,0,Sushi_Fish,Sushi_Fish,695
700,5,6,0,Sushi_Fish,Sushi_Fish,700
