,Unnamed: 0,player0_position_x,player0_position_z,player0_position_a,order0,order1,time,move_action,cut_action,pickdrop_action
0,0,8,3,0,Sushi_Fish,Sushi_Fish,0,Right,False,False
1,6,8,3,1,Sushi_Fish,Sushi_Fish,6,Down,False,False
2,17,8,3,2,Sushi_Fish,Sushi_Fish,17,Left,False,False
3,18,7,3,3,Sushi_Fish,Sushi_Fish,18,Left,False,False
4,21,6,3,3,Sushi_Fish,Sushi_Fish,21,Up,False,False
5,27,6,3,0,Sushi_Fish,Sushi_Fish,27,Right,False,False
6,31,7,3,0,Sushi_Fish,Sushi_Fish,31,Left,False,False
7,33,7,3,3,Sushi_Fish,Sushi_Fish,33,Right,False,False
8,42,8,3,3,Sushi_Fish,Sushi_Fish,42,Left,False,False
9,54,7,3,3,Sushi_Fish,Sushi_Fish,54,Left,False,False
10,57,6,3,3,Sushi_Fish,Sushi_Fish,57,Left,False,False
11,60,5,3,3,Sushi_Fish,Sushi_Fish,60,Down,False,False
12,65,5,3,2,Sushi_Fish,Sushi_Fish,65,Right,False,False
13,67,6,3,1,Sushi_Fish,Sushi_Fish,67,Right,False,False
14,70,7,3,1,Sushi_Fish,Sushi_Fish,70,Right,False,False
15,73,8,3,1,Sushi_Fish,Sushi_Fish,73,Down,False,False
16,76,8,3,2,Sushi_Fish,Sushi_Fish,76,Down,False,False
17,78,8,2,2,Sushi_Fish,Sushi_Fish,78,Down,False,False
18,81,8,1,2,Sushi_Fish,Sushi_Fish,81,Left,False,False
19,87,8,1,3,Sushi_Fish,Sushi_Fish,87,Left,False,False
20,89,7,1,0,Sushi_Fish,Sushi_Fish,89,Up,False,False
21,91,7,2,0,Sushi_Fish,Sushi_Fish,91,Up,False,False
22,95,7,3,0,Sushi_Fish,Sushi_Fish,95,Right,False,False
23,98,7,3,1,Sushi_Fish,Sushi_Fish,98,Right,False,False
24,100,8,3,1,Sushi_Fish,Sushi_Fish,100,Up,False,False
25,102,8,4,0,Sushi_Fish,Sushi_Fish,102,Up,False,False
26,105,8,5,0,Sushi_Fish,Sushi_Fish,105,Invalid,False,False
27,109,7,6,0,Sushi_Fish,Sushi_Fish,109,Left,False,False
28,116,7,6,3,Sushi_Fish,Sushi_Fish,116,Left,False,False
29,118,6,6,3,Sushi_Fish,Sushi_Fish,118,Down,False,False
30,119,6,6,2,Sushi_Fish,Sushi_Fish,119,Down,False,False
31,120,6,5,2,Sushi_Fish,Sushi_Fish,120,Left,False,False
32,126,6,5,3,Sushi_Fish,Sushi_Fish,126,Left,False,False
33,128,5,5,3,Sushi_Fish,Sushi_Fish,128,Up,False,False
34,130,5,5,0,Sushi_Fish,Sushi_Fish,130,Up,False,False
35,132,5,6,0,Sushi_Fish,Sushi_Fish,132,Right,True,False
36,254,5,6,1,Sushi_Fish,Sushi_Fish,254,Right,False,False
37,256,6,6,1,Sushi_Fish,Sushi_Fish,256,Right,False,False
38,259,7,6,1,Sushi_Fish,Sushi_Fish,259,Up,False,False
39,261,7,6,0,Sushi_Fish,Sushi_Fish,261,Right,False,False
40,269,7,6,1,Sushi_Fish,Sushi_Fish,269,Right,False,False
41,270,8,6,1,Sushi_Fish,Sushi_Fish,270,Down,False,False
42,272,8,6,2,Sushi_Fish,Sushi_Fish,272,Right,False,False
43,273,9,6,2,Sushi_Fish,Sushi_Fish,273,Down,False,False
44,274,9,5,2,Sushi_Fish,Sushi_Fish,274,Down,False,False
45,278,9,4,2,Sushi_Fish,Sushi_Fish,278,Left,False,False
46,279,8,4,3,Sushi_Fish,Sushi_Fish,279,Down,False,False
47,285,8,3,2,Sushi_Fish,Sushi_Fish,285,Down,False,False
48,288,8,2,2,Sushi_Fish,Sushi_Fish,288,Down,False,False
49,291,8,1,1,Sushi_Fish,Sushi_Fish,291,Right,False,False
50,294,9,1,2,Sushi_Fish,Sushi_Fish,294,Left,False,False
51,306,8,1,3,Sushi_Fish,Sushi_Fish,306,Down,False,False
52,309,8,1,2,Sushi_Fish,Sushi_Fish,309,Left,False,False
53,320,8,1,3,Sushi_Fish,Sushi_Fish,320,Up,False,False
54,322,8,2,0,Sushi_Fish,Sushi_Fish,322,Up,False,False
55,325,8,3,1,Sushi_Fish,Sushi_Fish,325,Right,False,False
56,327,9,3,1,Sushi_Fish,Sushi_Fish,327,Up,False,False
57,330,9,4,0,Sushi_Fish,Sushi_Fish,330,Up,False,False
58,333,9,5,0,Sushi_Fish,Sushi_Fish,333,Up,False,False
59,336,9,6,0,Sushi_Fish,Sushi_Fish,336,Left,False,False
60,340,9,6,3,Sushi_Fish,Sushi_Fish,340,Down,False,False
61,342,9,5,2,Sushi_Fish,Sushi_Fish,342,Left,False,False
62,344,9,5,3,Sushi_Fish,Sushi_Fish,344,Invalid,False,False
63,346,8,4,3,Sushi_Fish,Sushi_Fish,346,Down,False,False
64,350,8,4,2,Sushi_Fish,Sushi_Fish,350,Down,False,False
65,351,8,3,2,Sushi_Fish,Sushi_Fish,351,Left,False,False
66,353,8,3,3,Sushi_Fish,Sushi_Fish,353,Invalid,False,False
67,354,7,2,3,Sushi_Fish,Sushi_Fish,354,Left,False,False
68,358,6,2,3,Sushi_Fish,Sushi_Fish,358,Left,False,False
